packet_num,hex_data
248,00 00 00 5c 01 d5 00 7e 01 02 01 bb 01 0c 01 f3 01 13 01 23
249,02 07 01 01 2b 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
250,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
251,00 00 00 70 02 dc 00 bf 02 af 00 dd 02 99 00 20 03 79 00 18
252,03 63 00 01 8d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
253,a5 1a 3a 68 00 24 b7 02 23 be 02 0b 18 00 0e 1f 01 1f 01 2d
254,01 39 37 00 19 00 01 75 00 00 00 00 00 00 00 00 00 00 00 00
255,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
256,00 00 00 10 03 4a 00 e1 02 33 00 9f 02 22 00 48 02 1b 00 f2
257,01 21 00 01 2e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
258,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
259,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
260,00 00 00 b0 01 2b 00 98 01 2f 00 6b 01 42 00 56 01 4d 00 48
261,01 5f 00 01 3f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
262,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
263,a5 0e 06 12 00 00 00 00 00 00 00 24 df 02 01 e2 00 00 00 00
264,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
265,00 00 00 32 01 83 00 21 01 b7 00 3a 01 e3 00 6c 01 04 01 fe
266,02 8b 00 01 33 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
267,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
268,00 00 00 ca 01 33 01 fb 01 2c 01 52 02 f5 00 9f 02 c2 00 bd
269,02 a9 00 01 a1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
270,a5 1d 3a 9a 01 24 a4 02 23 af 02 0b 1a 00 df 4d 01 0e 4d 01
271,24 01 4d 01 39 34 00 17 00 01 e7 00 00 00 00 00 00 00 00 00
272,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
273,00 00 00 eb 02 8b 00 09 03 6d 00 00 03 53 00 e4 02 3c 00 b5
274,02 28 00 01 95 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
275,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
276,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
277,00 00 00 5d 02 1f 00 1e 02 1a 00 f3 01 1a 00 c7 01 22 00 98
278,01 2f 00 01 65 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
279,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
280,a5 0e 06 13 00 00 00 00 00 00 00 24 ca 02 01 f6 00 00 00 00
281,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
282,00 00 00 81 01 39 00 6c 01 46 00 4d 01 64 00 cd 01 64 00 3a
283,01 b3 00 01 9d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
284,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
285,00 00 00 52 01 e3 00 74 01 11 01 99 01 33 01 cd 01 3c 01 16
286,02 15 01 01 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
287,a5 1d 3a 68 00 24 94 02 23 9c 02 0b 1c 00 df 57 01 0e 57 01
288,28 01 57 01 39 35 00 18 00 01 17 00 00 00 00 00 00 00 00 00
289,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
290,00 00 00 51 02 ed 00 8d 02 c6 00 dd 02 99 00 fa 02 7f 00 18
291,03 63 00 01 d7 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
292,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
293,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
294,00 00 00 fc 02 4a 00 cc 02 34 00 76 02 2a 00 32 02 22 00 f2
295,01 21 00 01 87 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
296,a5 11 06 14 00 00 00 00 00 00 00 24 b7 02 11 52 00 01 a5 00
297,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
298,00 00 00 af 01 2d 00 81 01 39 00 6b 01 42 00 56 01 4d 00 59
299,01 54 00 01 45 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
300,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
301,00 00 00 52 01 6a 00 39 01 9d 00 5b 01 ba 00 7c 01 e1 00 b4
302,01 fd 00 01 23 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
303,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
304,a5 1a 3a 6e 00 24 94 02 23 a6 02 0b 1e 00 0e 53 01 2c 01 57
305,01 39 35 00 17 00 01 3d 00 00 00 00 00 00 00 00 00 00 00 00
306,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
307,00 00 00 e1 01 13 01 13 02 0e 01 51 02 ed 00 af 02 b9 00 e0
308,02 9f 00 01 98 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
309,a5 04 02 00 01 fd 00 00 00 00 00 00 00 00 00 00 00 00 00 00
310,a5 2b 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
311,00 00 00 fc 02 85 00 1a 03 68 00 12 03 4f 00 f7 02 37 00 a0
312,02 2a 00 01 75 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
